filename,inference_time_ms,total_signs,Pole-mounted,Wall-mounted
20260110_172729.jpg,46.38,0,0,0
IMG_1506.jpg,114.01,2,2,0
IMG_1517.jpg,42.48,1,1,0
IMG_1520.jpg,72.05,1,1,0
IMG_1522.jpg,63.9,2,2,0
IMG_1523.jpg,55.3,2,2,0
IMG_1527.jpg,42.3,2,2,0
IMG_1532.jpg,68.49,1,1,0
IMG_1534.jpg,46.92,1,1,0
IMG_1550.jpg,50.22,1,1,0
IMG_1567.jpg,64.82,1,1,0
IMG_1573.jpg,87.43,1,1,0
IMG_1580.jpg,39.78,1,1,0
IMG_1596.jpg,64.98,1,1,0
IMG_1609.jpg,77.59,1,1,0
IMG_1614.jpg,53.66,1,1,0
IMG_1636.jpg,132.4,0,0,0
IMG_1648.jpg,52.35,1,1,0
IMG_20251123_143037.jpg,47.17,1,1,0
IMG_20251123_144205.jpg,62.4,1,1,0
IMG_20251123_145518.jpg,51.27,3,3,0
IMG_20251123_145915.jpg,46.48,1,1,0
IMG_20251123_150542.jpg,43.94,2,2,0
IMG_20251123_151128.jpg,86.57,1,1,0
IMG_20251123_151438.jpg,39.27,1,1,0
IMG_20251123_151450.jpg,39.32,0,0,0
IMG_20251123_151709.jpg,39.47,2,2,0
IMG_20251123_152108.jpg,73.53,1,1,0
IMG_20251123_154204.jpg,40.5,1,1,0
IMG_20251123_164424.jpg,50.04,1,1,0
IMG_20251123_165832.jpg,44.19,1,1,0
IMG_20251123_170230.jpg,48.44,1,1,0
IMG_20251125_113631.jpg,49.47,1,1,0
IMG_20251125_114024.jpg,47.68,3,2,1
IMG_20251125_120307.jpg,76.82,2,2,0
IMG_20251125_120359.jpg,45.19,1,0,1
IMG_20251125_120930.jpg,39.11,1,1,0
IMG_20251125_121035.jpg,65.02,1,1,0
IMG_20251125_121142.jpg,33.69,1,1,0
IMG_20251125_122024.jpg,46.42,1,1,0
IMG_20251125_122030.jpg,77.29,1,0,1
IMG_20251125_122819_1.jpg,42.69,1,1,0
IMG_20251125_124406.jpg,42.84,1,1,0
IMG_20260106_160600_879.jpg,50.35,1,1,0
IMG_20260106_161746_914.jpg,50.37,1,1,0
IMG_20260106_162033_174.jpg,45.64,0,0,0
IMG_20260106_162103_269.jpg,76.51,1,1,0
IMG_20260106_162110_401.jpg,76.8,1,1,0
IMG_20260106_162113_716.jpg,68.76,1,1,0
IMG_20260106_162304_258.jpg,64.29,0,0,0
IMG_20260110_171246_403.jpg,176.35,0,0,0
IMG_20260110_172521_196.jpg,50.31,1,1,0
IMG_20260110_172523_601.jpg,38.51,0,0,0
IMG_20260110_172625_333.jpg,38.19,1,1,0
IMG_20260110_172947_725.jpg,54.3,1,0,1
IMG_20260110_173014_412.jpg,43.82,0,0,0
IMG_20260110_173104_171.jpg,38.82,1,1,0
IMG_20260110_173326_716.jpg,53.94,1,0,1
IMG_20260110_173508_968.jpg,52.2,1,1,0
IMG_20260110_173644_468.jpg,54.59,0,0,0
IMG_20260113_082936_743.jpg,66.43,0,0,0
IMG_20260113_082952_561.jpg,74.27,1,1,0
IMG_20260113_083553_539.jpg,66.35,1,1,0
IMG_20260113_083805_099.jpg,64.8,1,1,0
IMG_20260113_084957_227.jpg,51.94,1,1,0
IMG_20260113_085011_841.jpg,39.22,0,0,0
IMG_20260113_085025_925.jpg,41.09,0,0,0
IMG_8805.jpeg,61.52,1,1,0
IMG_8815.jpeg,67.19,0,0,0
wall_stop.jpeg,56.14,1,0,1
WhatsApp_Image_2025-11-16_at_17.52.13__1__-_Edited.jpg,40.03,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.23__1_.jpeg,50.37,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.23__4_.jpeg,38.74,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.24__2_.jpeg,43.94,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.27__1_.jpeg,50.41,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.27__2__-_Edited.jpg,54.49,1,1,0
WhatsApp_Image_2025-11-16_at_17.52.28__2_.jpeg,52.83,1,1,0
WhatsApp_Image_2025-11-17_at_15.01.43.jpeg,39.73,2,2,0
WhatsApp_Image_2025-11-17_at_15.01.44.jpeg,40.64,1,1,0
WhatsApp_Image_2025-11-17_at_15.01.48__1_.jpeg,38.92,1,1,0
WhatsApp_Image_2025-11-17_at_15.01.50__1_.jpeg,40.35,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.50__2_.jpeg,51.94,1,1,0
WhatsApp_Image_2025-11-17_at_15.01.53.jpeg,35.17,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.57.jpeg,36.38,1,1,0
WhatsApp_Image_2025-11-17_at_15.01.57__4_.jpeg,36.72,1,1,0
WhatsApp_Image_2025-11-17_at_15.01.58__1_.jpeg,36.18,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.59.jpeg,35.66,0,0,0
WhatsApp_Image_2025-11-17_at_15.02.00.jpeg,50.31,1,1,0
WhatsApp_Image_2025-11-20_at_16.02.59__1_.jpeg,39.82,1,1,0
