epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,36.8311,0.86008,3.90189,1.18735,0.01304,0.79111,0.15121,0.12167,0.50509,3.60715,0.93898,0.00087,0.00029,0.00087,0.00029,0.00087,0.00029,0.00087,0.00029
2,55.8081,0.81494,3.66477,1.13462,0.01019,0.89636,0.20023,0.16486,0.51085,3.40022,0.91544,0.00175248,0.000584159,0.00175248,0.000584159,0.00175248,0.000584159,0.00175248,0.000584159
3,66.0019,0.80463,3.32228,1.1192,0.67274,0.19264,0.25741,0.2164,0.5245,2.88588,0.94091,0.00261713,0.000872378,0.00261713,0.000872378,0.00261713,0.000872378,0.00261713,0.000872378
4,76.0797,0.79595,2.88666,1.11242,0.44531,0.48639,0.38947,0.32402,0.56496,2.16497,0.93994,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,85.9045,0.81167,2.52572,1.1053,0.50356,0.50967,0.43878,0.36765,0.56186,1.89729,0.94484,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,96.0689,0.79544,2.37363,1.08825,0.41872,0.60547,0.49993,0.4236,0.56947,1.70459,0.94645,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,106.18,0.77649,2.13312,1.06871,0.51891,0.67348,0.62256,0.53566,0.55536,1.4479,0.94053,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,116.244,0.75563,1.95263,1.04985,0.59613,0.67986,0.69014,0.58529,0.5387,1.35422,0.93025,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,125.725,0.74786,1.88066,1.05296,0.69933,0.78186,0.76538,0.65742,0.54354,1.14772,0.93156,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,135.259,0.68115,1.60179,1.00796,0.83762,0.70396,0.78925,0.68263,0.52095,1.03437,0.93601,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
