filename,inference_time_ms,total_signs,Blind-Spot Mirror (Convex),No Entry (One Way),No Through Road (T-Sign),Pedestrian Crossing,Roundabout Ahead,Stop
20260110_172729.jpg,202.4,1,0,0,0,1,0,0
IMG_1506.jpg,21.29,1,0,0,0,0,0,1
IMG_1517.jpg,18.84,1,0,1,0,0,0,0
IMG_1520.jpg,29.33,1,0,1,0,0,0,0
IMG_1522.jpg,24.91,3,0,2,0,0,0,1
IMG_1523.jpg,23.56,2,0,1,0,0,0,1
IMG_1527.jpg,76.38,2,0,1,0,0,0,1
IMG_1532.jpg,40.95,1,0,0,0,1,0,0
IMG_1534.jpg,18.33,1,0,0,0,1,0,0
IMG_1550.jpg,16.73,1,0,0,0,0,1,0
IMG_1567.jpg,15.72,1,0,1,0,0,0,0
IMG_1573.jpg,17.94,1,0,1,0,0,0,0
IMG_1580.jpg,16.03,1,0,1,0,0,0,0
IMG_1596.jpg,26.35,1,0,0,0,0,1,0
IMG_1609.jpg,26.18,1,0,0,0,1,0,0
IMG_1614.jpg,39.54,1,0,0,0,1,0,0
IMG_1636.jpg,15.73,1,0,1,0,0,0,0
IMG_1648.jpg,21.28,1,0,0,0,0,0,1
IMG_20251123_143037.jpg,20.51,1,1,0,0,0,0,0
IMG_20251123_144205.jpg,14.28,1,0,0,0,0,0,1
IMG_20251123_145518.jpg,14.11,1,0,0,0,0,1,0
IMG_20251123_145915.jpg,13.83,1,1,0,0,0,0,0
IMG_20251123_150542.jpg,18.33,2,0,0,0,1,1,0
IMG_20251123_151128.jpg,20.97,1,0,0,0,1,0,0
IMG_20251123_151438.jpg,18.06,1,0,1,0,0,0,0
IMG_20251123_151450.jpg,24.16,1,0,1,0,0,0,0
IMG_20251123_151709.jpg,18.72,1,0,0,0,0,0,1
IMG_20251123_152108.jpg,19.51,1,0,0,0,1,0,0
IMG_20251123_154204.jpg,20.56,1,0,0,1,0,0,0
IMG_20251123_164424.jpg,19.8,1,0,1,0,0,0,0
IMG_20251123_165832.jpg,19.05,1,1,0,0,0,0,0
IMG_20251123_170230.jpg,21.79,1,0,0,1,0,0,0
IMG_20251125_113631.jpg,25.0,1,0,0,0,0,0,1
IMG_20251125_114024.jpg,60.52,2,0,1,1,0,0,0
IMG_20251125_120307.jpg,16.87,2,2,0,0,0,0,0
IMG_20251125_120359.jpg,18.5,0,0,0,0,0,0,0
IMG_20251125_120930.jpg,18.59,1,0,0,1,0,0,0
IMG_20251125_121035.jpg,16.15,1,0,1,0,0,0,0
IMG_20251125_121142.jpg,17.71,1,1,0,0,0,0,0
IMG_20251125_122024.jpg,23.01,1,0,0,0,1,0,0
IMG_20251125_122030.jpg,30.4,1,0,0,0,1,0,0
IMG_20251125_122819_1.jpg,17.21,1,0,1,0,0,0,0
IMG_20251125_124406.jpg,19.22,1,0,0,1,0,0,0
IMG_20260106_160600_879.jpg,22.86,1,0,1,0,0,0,0
