epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4276,0.8636,3.47176,1.13228,0.00659,0.9754,0.24697,0.20224,0.63844,3.55338,0.96429,0.00029,0.00029,0.00029
2,115.569,0.87423,2.36387,1.10904,0.87759,0.31535,0.50908,0.4192,0.70149,3.08946,1.02465,0.000582699,0.000582699,0.000582699
3,171.392,0.88461,2.08919,1.0883,0.5687,0.45885,0.56197,0.43396,0.89059,2.80293,1.13831,0.000867973,0.000867973,0.000867973
4,228.318,0.89216,1.93056,1.08662,0.61796,0.51617,0.571,0.39228,0.85356,3.34585,1.14716,0.000962875,0.000962875,0.000962875
5,285.594,0.93354,1.85635,1.1199,0.77679,0.53574,0.64394,0.51662,0.80655,2.48787,1.07932,0.0009505,0.0009505,0.0009505
6,344.094,0.85915,1.66045,1.07385,0.58002,0.5407,0.55384,0.40551,0.96868,2.39086,1.17464,0.000938125,0.000938125,0.000938125
7,408.872,0.90082,1.59972,1.09494,0.49774,0.62467,0.54037,0.41798,0.81098,2.77271,1.06568,0.00092575,0.00092575,0.00092575
8,474.544,0.85061,1.54685,1.08559,0.68503,0.65323,0.67279,0.53459,0.82773,1.95591,1.06718,0.000913375,0.000913375,0.000913375
9,537.171,0.87592,1.4914,1.0872,0.74492,0.60171,0.70831,0.55918,0.72701,1.80817,1.04339,0.000901,0.000901,0.000901
10,599.252,0.82872,1.41408,1.0658,0.79634,0.6109,0.71966,0.59685,0.73133,1.61254,1.03503,0.000888625,0.000888625,0.000888625
11,663.212,0.86093,1.35509,1.05972,0.65134,0.69579,0.73354,0.58807,0.73302,1.51316,1.01642,0.00087625,0.00087625,0.00087625
12,726.946,0.84746,1.27562,1.06323,0.71928,0.74658,0.71797,0.57563,0.71255,1.57704,1.02515,0.000863875,0.000863875,0.000863875
13,792.959,0.82982,1.2136,1.04985,0.74273,0.71113,0.76395,0.57705,0.77083,1.52122,1.04705,0.0008515,0.0008515,0.0008515
14,859.627,0.79774,1.13573,1.03648,0.76322,0.72279,0.77043,0.63165,0.71072,1.34766,1.00226,0.000839125,0.000839125,0.000839125
15,934.26,0.76411,1.04917,1.03118,0.73528,0.4526,0.49123,0.39977,0.67588,1.36319,0.99332,0.00082675,0.00082675,0.00082675
16,1009.49,0.77255,1.08237,1.03159,0.7661,0.45434,0.56511,0.44667,0.73805,1.46444,1.03111,0.000814375,0.000814375,0.000814375
17,1086.51,0.77304,1.0707,1.01692,0.71642,0.57845,0.59063,0.46534,0.73081,1.26834,1.02555,0.000802,0.000802,0.000802
18,1161.24,0.73478,1.07977,1.01597,0.78801,0.67887,0.7149,0.57523,0.74332,1.24201,1.03189,0.000789625,0.000789625,0.000789625
19,1238.48,0.76788,1.03856,1.02571,0.89866,0.70132,0.80038,0.66551,0.7237,1.14571,0.98956,0.00077725,0.00077725,0.00077725
20,1310.95,0.75638,0.93505,1.01349,0.88957,0.80707,0.80988,0.65863,0.66833,1.05891,0.9901,0.000764875,0.000764875,0.000764875
21,1389.32,0.74123,0.90966,1.00707,0.79913,0.5755,0.59708,0.48523,0.66668,1.04524,0.97094,0.0007525,0.0007525,0.0007525
22,1461.26,0.75703,0.90565,1.02304,0.75021,0.77126,0.77112,0.62311,0.69928,1.00081,0.98333,0.000740125,0.000740125,0.000740125
